Model,Index,Core,Name,Type,Kernel,Stride,OutHW,OutC,InC,CurWeight,MaxWeight,Margin,WeightOK,MinT_Q,Tiles_Q,TileShare,InTile_HW,InTile_B,OutTile_B,T_AdaptFull,Tiles_AdaptFull
YOLOv10s,14,1,model.5.cv2.conv,DW,3x3,2,40x40,256,256,2304,123136,120832,True,10,16,17,21x21,112896,25600,13,16
YOLOv10s,15,1,model.6.cv1.conv,1x1,1x1,1,40x40,256,256,65536,210432,144896,True,10,16,17,10x10,25600,25600,19,9
YOLOv10s,16,2,model.6.m.0.cv1.conv,Conv,3x3,1,40x40,128,128,147456,252160,104704,True,5,64,64,7x7,6272,3200,20,4
YOLOv10s,17,2,model.6.m.0.cv2.conv,Conv,3x3,1,40x40,128,128,147456,252160,104704,True,5,64,64,7x7,6272,3200,20,4
YOLOv10s,18,2,model.6.m.1.cv1.conv,Conv,3x3,1,40x40,128,128,147456,252160,104704,True,5,64,64,7x7,6272,3200,20,4
YOLOv10s,19,2,model.6.m.1.cv2.conv,Conv,3x3,1,40x40,128,128,147456,252160,104704,True,5,64,64,7x7,6272,3200,20,4
YOLOv10s,20,2,model.6.cv2.conv,1x1,1x1,1,40x40,256,512,131072,242432,111360,True,5,64,64,5x5,12800,6400,13,16
YOLOv10s,21,2,model.7.cv1.conv,1x1,1x1,1,40x40,512,256,131072,242432,111360,True,5,64,64,5x5,6400,12800,13,16
YOLOv10s,22,2,model.7.cv2.conv,DW,3x3,2,20x20,512,512,4608,186880,182272,True,5,16,16,11x11,61952,12800,9,9
YOLOv10s,23,2,model.8.cv1.conv,1x1,1x1,1,20x20,512,512,262144,236032,-26112,False,5,16,16,5x5,12800,12800,1,400
YOLOv10s,24,3,model.8.m.0.cv1.0.conv,DW,3x3,1,20x20,256,256,2304,252928,250624,True,3,49,64,5x5,6400,2304,20,1
YOLOv10s,25,3,model.8.m.0.cv1.1.conv,1x1,1x1,1,20x20,512,256,131072,254720,123648,True,3,49,64,3x3,2304,4608,13,4
YOLOv10s,26,3,model.8.m.0.cv1.2.conv.conv,DW,7x7,1,20x20,512,512,25088,215552,190464,True,3,49,64,9x9,41472,4608,11,4
YOLOv10s,27,3,model.8.m.0.cv1.2.conv1.conv,DW,3x3,1,20x20,512,512,4608,244224,239616,True,3,49,64,5x5,12800,4608,14,4
YOLOv10s,28,3,model.8.m.0.cv1.3.conv,1x1,1x1,1,20x20,256,512,131072,254720,123648,True,3,49,64,3x3,4608,2304,13,4
